               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.071902,            0.024807,                   0,             0.37054,              0.5163,             0.27588,            0.067739,            0.078066,            0.028463,                   0,            0.002068,            0.002068,            0.081168
                  70,            0.072906,            0.025146,                   0,             0.51608,             0.57187,             0.45473,             0.12698,            0.074127,            0.029192,                   0,            0.002097,            0.002097,            0.080897
                  71,            0.074094,            0.024798,                   0,             0.11858,             0.18841,            0.038619,           0.0066314,            0.092329,            0.048519,                   0,            0.002126,            0.002126,            0.080626
                  72,            0.083243,            0.026495,                   0,              0.4207,             0.48188,             0.29276,            0.071521,            0.076442,            0.031983,                   0,            0.002155,            0.002155,            0.080355
                  73,            0.078367,            0.026454,                   0,             0.24566,             0.31159,             0.12355,             0.02434,            0.086176,            0.056601,                   0,            0.002184,            0.002184,            0.080084
                  74,            0.077636,            0.026005,                   0,             0.46649,             0.58451,              0.3866,             0.10055,            0.076285,            0.032018,                   0,           0.0022129,           0.0022129,            0.079813
                  75,             0.08405,            0.026058,                   0,             0.34099,             0.47526,             0.23392,            0.050423,            0.079988,            0.028917,                   0,           0.0022418,           0.0022418,            0.079542
                  76,            0.078451,            0.025146,                   0,              0.5442,             0.57246,             0.47813,             0.12222,            0.077167,            0.029659,                   0,           0.0022706,           0.0022706,            0.079271
                  77,            0.081196,            0.024914,                   0,             0.15548,             0.35326,            0.096209,            0.018946,            0.092822,            0.042017,                   0,           0.0022995,           0.0022995,            0.078999
                  78,            0.081682,            0.025719,                   0,             0.52331,              0.5471,             0.43551,            0.098406,             0.07727,             0.03279,                   0,           0.0023283,           0.0023283,            0.078728
                  79,            0.076662,            0.024817,                   0,             0.51006,             0.58152,             0.45821,             0.10944,            0.076591,             0.02933,                   0,            0.002357,            0.002357,            0.078457
                  80,            0.070519,            0.025126,                   0,             0.60013,             0.61232,             0.50831,             0.11955,            0.070235,            0.027596,                   0,           0.0023858,           0.0023858,            0.078186
                  81,            0.079613,            0.025314,                   0,             0.55384,             0.57609,             0.42802,             0.11474,            0.073455,             0.02808,                   0,           0.0024145,           0.0024145,            0.077914
                  82,            0.080765,            0.024518,                   0,             0.38466,             0.43827,             0.24768,            0.055346,            0.078081,            0.043942,                   0,           0.0024432,           0.0024432,            0.077643
                  83,            0.076948,            0.025742,                   0,             0.59184,             0.61051,             0.50405,               0.135,            0.074843,            0.037191,                   0,           0.0024718,           0.0024718,            0.077372
                  84,             0.07935,             0.02503,                   0,             0.32671,             0.42029,             0.19947,            0.038651,            0.083247,            0.035247,                   0,           0.0025004,           0.0025004,              0.0771
                  85,            0.079727,            0.024201,                   0,             0.33444,             0.39312,             0.21788,            0.042315,            0.080137,            0.031067,                   0,            0.002529,            0.002529,            0.076829
                  86,            0.082219,             0.02442,                   0,             0.37614,             0.48007,             0.27909,            0.056911,            0.079329,            0.035179,                   0,           0.0025576,           0.0025576,            0.076558
                  87,            0.067078,            0.024257,                   0,             0.39636,             0.55254,             0.31875,            0.066621,            0.071059,            0.028369,                   0,           0.0025861,           0.0025861,            0.076286
                  88,             0.07295,            0.023503,                   0,             0.55032,             0.61855,             0.48086,             0.12228,            0.067824,            0.027798,                   0,           0.0026145,           0.0026145,            0.076015
                  89,             0.07263,            0.024416,                   0,             0.31722,              0.3913,             0.21366,            0.045977,            0.073988,            0.026828,                   0,            0.002643,            0.002643,            0.075743
                  90,            0.074715,            0.025354,                   0,             0.33151,             0.36775,             0.20494,            0.047186,            0.081023,            0.029562,                   0,           0.0026714,           0.0026714,            0.075471
                  91,            0.083278,            0.024846,                   0,             0.16295,             0.33152,             0.09443,            0.020609,            0.091976,            0.060313,                   0,           0.0026998,           0.0026998,              0.0752
                  92,            0.074474,            0.025275,                   0,              0.1404,             0.25725,            0.068449,            0.014911,            0.094521,            0.049478,                   0,           0.0027281,           0.0027281,            0.074928
                  93,            0.077941,            0.025075,                   0,             0.11696,             0.11232,            0.031282,           0.0065339,            0.098069,            0.062678,                   0,           0.0027564,           0.0027564,            0.074656
                  94,            0.070262,            0.023785,                   0,             0.17977,             0.21014,            0.081623,            0.015271,            0.092565,             0.04547,                   0,           0.0027847,           0.0027847,            0.074385
